,id,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,training_time,distance_metric,distance_type,mt_strategy,normalizer,model_path,scaler_path
0,16,0.02583038341368737,0.010885423460290014,0.9858835996505704,0.0,0.9858835979419788,0.11823315327459395,0.062098165987426464,0.9165516744317508,0.04279207253233325,0.9165503288538293,0.11823315327459395,0.062098165987426464,0.9165516744317508,0.04279207253233325,0.9165503288538293,4127.981994390489,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k16_distance_manhattan_standard_one_hot_B0_v3\k16_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k16_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,1,0.029153518513956964,0.02149656856590868,0.9724012043681344,0.0,0.9724009720856176,0.1404292338762093,0.08994841830484447,0.8839445781407022,0.0478155959168321,0.8839419661828897,0.1404292338762093,0.08994841830484447,0.8839445781407022,0.0478155959168321,0.8839419661828897,4576.051822423935,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_standard_one_hot_B0_v3\k1_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,6,0.02600212451377667,0.01118255836367517,0.9855064413283168,0.0,0.9855064386309874,0.11826244777428735,0.06293661264071057,0.9163689551202872,0.041370617075993765,0.916368555407888,0.11826244777428735,0.06293661264071057,0.9163689551202872,0.041370617075993765,0.916368555407888,5347.711268901825,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_standard_one_hot_B0_v3\k6_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,11,0.025869182298312008,0.010914355399496324,0.9858304143162709,0.0,0.98583041375849,0.11770201213978534,0.061995366252506075,0.9175728436765423,0.042320537752602805,0.9175725975585294,0.11770201213978534,0.061995366252506075,0.9175728436765423,0.042320537752602805,0.9175725975585294,5547.60834312439,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k11_distance_manhattan_standard_one_hot_B0_v3\k11_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k11_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,17,0.025823395803645486,0.01088046645572902,0.9858898651170452,0.0,0.9858898630406732,0.11839016446773275,0.06213184023891988,0.9164629414171421,0.04291858169859775,0.9164614856652444,0.11839016446773275,0.06213184023891988,0.9164629414171421,0.04291858169859775,0.9164614856652444,4088.974105834961,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_standard_one_hot_B0_v3\k17_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,2,0.02756306418280699,0.01347665745396788,0.982549060441086,0.0,0.9825490224933762,0.1256507298845616,0.07226718491674751,0.9046470783841132,0.04211518964429308,0.9046459941568256,0.1256507298845616,0.07226718491674751,0.9046470783841132,0.04211518964429308,0.9046459941568256,3967.810872316361,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_standard_one_hot_B0_v3\k2_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,7,0.0259602938504224,0.011111486572197269,0.9855955843671272,0.0,0.9855955828815997,0.11794577145314318,0.06249967752154744,0.9168225865323392,0.041447316621917814,0.9168223929799904,0.11794577145314318,0.06249967752154744,0.9168225865323392,0.041447316621917814,0.9168223929799904,4227.502474069594,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k7_distance_manhattan_standard_one_hot_B0_v3\k7_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k7_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,12,0.0258561845073135,0.010897042589189094,0.9858559416076632,0.0,0.9858559415628896,0.1178160121182663,0.061951005708804775,0.9175827061913431,0.04252115733939582,0.9175823996482548,0.1178160121182663,0.061951005708804775,0.9175827061913431,0.04252115733939582,0.9175823996482548,4695.169570684433,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k12_distance_manhattan_standard_one_hot_B0_v3\k12_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k12_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,3,0.0265830040071012,0.01190792114699243,0.9845507260116112,0.0,0.9845506661055918,0.12133460978147505,0.06650431769773213,0.9115269483305724,0.04184776205890611,0.9115262658354034,0.12133460978147505,0.06650431769773213,0.9115269483305724,0.04184776205890611,0.9115262658354034,4155.510589122772,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k3_distance_manhattan_standard_one_hot_B0_v3\k3_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k3_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,18,0.02581837219093482,0.010873801133256502,0.9859000136838652,0.0,0.9859000127065516,0.11857024478562456,0.06220657803067047,0.9163258700707064,0.04306834423976691,0.9163243175010264,0.11857024478562456,0.06220657803067047,0.9163258700707064,0.04306834423976691,0.9163243175010264,4123.8874900341025,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k18_distance_manhattan_standard_one_hot_B0_v3\k18_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k18_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,8,0.02592303087866964,0.01105452870507123,0.9856665290887772,0.0,0.985666528652038,0.1177405665657191,0.06211199693749603,0.9172317372686076,0.04156395679361646,0.9172316588427408,0.1177405665657191,0.06211199693749603,0.9172317372686076,0.04156395679361646,0.9172316588427408,4700.144812583922,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k8_distance_manhattan_standard_one_hot_B0_v3\k8_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k8_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,13,0.025846543892834136,0.010886222521923802,0.9858716422854498,0.0,0.9858716418586392,0.11793320780306407,0.061952349122057125,0.9175225021692855,0.042699591362767686,0.9175221391697976,0.11793320780306407,0.061952349122057125,0.9175225021692855,0.042699591362767686,0.9175221391697976,4693.160070180893,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k13_distance_manhattan_standard_one_hot_B0_v3\k13_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k13_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,4,0.02627752316976193,0.01149597190416812,0.9850646173987084,0.0,0.9850645273803568,0.1191780234535598,0.0641938552771149,0.9142664106913028,0.04125714636544645,0.9142659555481696,0.1191780234535598,0.0641938552771149,0.9142664106913028,0.04125714636544645,0.9142659555481696,4087.782116174698,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k4_distance_manhattan_standard_one_hot_B0_v3\k4_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k4_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,19,0.025812835875063632,0.010869374504937478,0.9859067253025471,0.0,0.9859067246535022,0.118724831907627,0.0622502221837939,0.9162258317778528,0.04323333159424092,0.9162241676388112,0.118724831907627,0.0622502221837939,0.9162258317778528,0.04323333159424092,0.9162241676388112,4187.2844688892355,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k19_distance_manhattan_standard_one_hot_B0_v3\k19_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k19_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,9,0.025903748886103996,0.011015823899182077,0.9857147837784874,0.0,0.9857147835579811,0.11761930574064924,0.0617481903398366,0.9175823084872669,0.04172470159017483,0.9175823056432398,0.11761930574064924,0.0617481903398366,0.9175823084872669,0.04172470159017483,0.9175823056432398,4684.10515999794,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k9_distance_manhattan_standard_one_hot_B0_v3\k9_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k9_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,14,0.025839256266059218,0.010872883657725426,0.985888394082556,0.0,0.9858883937485892,0.118074316990011,0.061962660348596925,0.917451478299436,0.04287260596766501,0.9174510259027664,0.118074316990011,0.061962660348596925,0.917451478299436,0.04287260596766501,0.9174510259027664,4690.935692310333,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k14_distance_manhattan_standard_one_hot_B0_v3\k14_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k14_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,5,0.02612938392620421,0.011278425143690523,0.985346566331168,0.0,0.9853464857302406,0.1181396048706696,0.06286938878498505,0.9158442337385552,0.041263593148063986,0.9158439374529592,0.1181396048706696,0.06286938878498505,0.9158442337385552,0.041263593148063986,0.9158439374529592,3978.20408821106,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k5_distance_manhattan_standard_one_hot_B0_v3\k5_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k5_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,20,0.02580944989763881,0.010860683361653706,0.9859185206673252,0.0,0.9859185203190688,0.11889151615910072,0.0623202263927436,0.9160923997282566,0.04337858039689455,0.916090643778885,0.11889151615910072,0.0623202263927436,0.9160923997282566,0.04337858039689455,0.916090643778885,4252.514727830887,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k20_distance_manhattan_standard_one_hot_B0_v3\k20_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k20_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,10,0.0258817898073626,0.010979794488824884,0.9857616699528216,0.0,0.9857616694608008,0.11760123636848625,0.0615646703974107,0.9177436502465302,0.04191421619587463,0.9177436441685576,0.11760123636848625,0.0615646703974107,0.9177436502465302,0.04191421619587463,0.9177436441685576,4735.699402809143,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k10_distance_manhattan_standard_one_hot_B0_v3\k10_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k10_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
0,15,0.02583319597867173,0.010862189209099544,0.9859004797710574,0.0,0.985900479651667,0.11823500265389875,0.06200422447970829,0.9173294812769706,0.04304219891047728,0.9173289308079972,0.11823500265389875,0.06200422447970829,0.9173294812769706,0.04304219891047728,0.9173289308079972,4685.2492604255685,manhattan,distance,one_hot,standard,E:\ML_Models_EXFOR\KNN_B0\k15_distance_manhattan_standard_one_hot_B0_v3\k15_distance_manhattan_standard_one_hot_B0_v3.joblib,E:\ML_Models_EXFOR\KNN_B0\k15_distance_manhattan_standard_one_hot_B0_v3\scaler.pkl
