"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Dataset","Distance Function","Distance","K","MSL","MSS","Max Depth","Model Type","Scaler","Training Time","MAE","MSE","Test MAE","Test MSE","Train MAE","Train MSE","Val MAE","Val MSE"
"k1_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T08:09:40.000Z","12","","B0_standard_MTone_hot","distance","manhattan","1","","","","KNN","standard","","","","0.1404292338762093","0.08994841830484447","0.029153518513956964","0.02149656856590868","0.1386406159461514","0.08867077866558412"
"k2_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T09:31:08.000Z","13","","B0_standard_MTone_hot","distance","manhattan","2","","","","KNN","standard","","","","0.1256507298845616","0.07226718491674751","0.02756306418280699","0.01347665745396788","0.12463159099188184","0.07248790021474004"
"k3_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T10:55:53.000Z","16","","B0_standard_MTone_hot","distance","manhattan","3","","","","KNN","standard","","","","0.12133460978147506","0.06650431769773212","0.026583004007101195","0.01190792114699243","0.12065882383711583","0.06705107940536771"
"k4_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T12:19:23.000Z","12","","B0_standard_MTone_hot","distance","manhattan","4","","","","KNN","standard","","","","0.1191780234535598","0.0641938552771149","0.02627752316976193","0.01149597190416812","0.118556884065769","0.06484079643588114"
"k5_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T13:38:37.000Z","15","","B0_standard_MTone_hot","distance","manhattan","5","","","","KNN","standard","","","","0.1181396048706696","0.06286938878498505","0.02612938392620421","0.011278425143690525","0.11754901096382622","0.06352363730700633"
"k6_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T08:25:37.000Z","16","","B0_standard_MTone_hot","distance","manhattan","6","","","","KNN","standard","","","","0.11826244777428736","0.06293661264071058","0.02600212451377667","0.01118255836367517","0.11830212755662728","0.0629559251080957"
"k7_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T09:46:35.000Z","12","","B0_standard_MTone_hot","distance","manhattan","7","","","","KNN","standard","","","","0.11794577145314318","0.062499677521547434","0.025960293850422405","0.011111486572197267","0.11801001096867712","0.06245548998851813"
"k8_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T11:14:49.000Z","11","","B0_standard_MTone_hot","distance","manhattan","8","","","","KNN","standard","","","","0.1177405665657191","0.06211199693749603","0.025923030878669637","0.01105452870507123","0.1177997544088235","0.0620009163077044"
"k9_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T12:42:42.000Z","12","","B0_standard_MTone_hot","distance","manhattan","9","","","","KNN","standard","","","","0.11761930574064924","0.0617481903398366","0.025903748886104","0.011015823899182075","0.11773965376273074","0.061744446733908005"
"k10_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T14:11:29.000Z","12","","B0_standard_MTone_hot","distance","manhattan","10","","","","KNN","standard","","","","0.11760123636848624","0.061564670397410697","0.025881789807362596","0.010979794488824884","0.11775772934931208","0.06164686936129414"
"k11_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T08:28:47.000Z","12","","B0_standard_MTone_hot","distance","manhattan","11","","","","KNN","standard","","","","0.11770201213978536","0.06199536625250608","0.02586918229831201","0.010914355399496324","0.11783244142490248","0.06318456418209634"
"k12_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T09:58:35.000Z","12","","B0_standard_MTone_hot","distance","manhattan","12","","","","KNN","standard","","","","0.1178160121182663","0.061951005708804775","0.0258561845073135","0.010897042589189094","0.11794380636293156","0.06311817491837765"
"k13_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T11:27:39.000Z","12","","B0_standard_MTone_hot","distance","manhattan","13","","","","KNN","standard","","","","0.11793320780306409","0.061952349122057125","0.025846543892834136","0.010886222521923802","0.11807270560997056","0.06306654411905341"
"k14_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T12:56:27.000Z","12","","B0_standard_MTone_hot","distance","manhattan","14","","","","KNN","standard","","","","0.118074316990011","0.06196266034859692","0.02583925626605922","0.010872883657725426","0.11822402294371484","0.06305757244406932"
"k15_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T14:25:38.000Z","12","","B0_standard_MTone_hot","distance","manhattan","15","","","","KNN","standard","","","","0.11823500265389876","0.06200422447970829","0.025833195978671737","0.010862189209099544","0.1183787440112198","0.06308076593608007"
"k16_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T08:06:27.000Z","16","","B0_standard_MTone_hot","distance","manhattan","16","","","","KNN","standard","","","","0.11823315327459394","0.06209816598742646","0.025830383413687374","0.010885423460290014","0.11755341123114008","0.06017115914768129"
"k17_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T09:31:01.000Z","12","","B0_standard_MTone_hot","distance","manhattan","17","","","","KNN","standard","","","","0.11839016446773276","0.06213184023891988","0.02582339580364549","0.01088046645572902","0.11770958304014754","0.06021393787581452"
"k18_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T10:56:54.000Z","12","","B0_standard_MTone_hot","distance","manhattan","18","","","","KNN","standard","","","","0.11857024478562454","0.062206578030670465","0.02581837219093482","0.010873801133256502","0.1178588393071261","0.06022731527091171"
"k19_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T12:22:34.000Z","12","","B0_standard_MTone_hot","distance","manhattan","19","","","","KNN","standard","","","","0.118724831907627","0.0622502221837939","0.02581283587506363","0.010869374504937478","0.11802716616659265","0.06027845643163573"
"k20_distance_manhattan_standard_one_hot_B0_v3","finished","-","pvicentevaldez","","2020-10-21T13:46:33.000Z","11","","B0_standard_MTone_hot","distance","manhattan","20","","","","KNN","standard","","","","0.11889151615910072","0.062320226392743594","0.025809449897638812","0.010860683361653706","0.11819508419313768","0.06034686244726581"